Yorum_Icerik,Yildiz
Kargo 2 gün içinde elime ulaştı. Teşekkürler Monster,5
"Ömür boyu bakım ücretsiz daha ne olsun remi kendiniz takarsanız garantisi bozulmuyor
Mükemmel bir bilgisayar kendi fan uygulaması var oradan falan açıp kapatabilirsiniz otomatiği alabilirsiniz kaldıramayacağı oyun yok ya",5
"1Önce eksikliğinden bahsedeyim. Kasası plastik ve aşırı parmak izi topluyor.

Geriye kalan herşeyi ile şuan için mükemmel. 

Yanında gönderilen çantası da aynı şekilde çok güzel.",5
"İndirimden aldım. Henüz geleceği satın alacak durumda değiliz. İki nesil önceki işlemci, oyunlarda hiçbir sorun çıkartmadı. Beamng.Drive, GTA V gibi oyunlarda hiç kasma olmadı. En az 5 yıl, üzmeden çalışacak bir makina hissi var. Ekranı açarken kasa da açılıyor, tek el açmak imkansız. Adaptör yassı ve ideal boyutlarda. Fan sesi biraz yüksek geldi daha önce hiç gamer pc kullanmadım. Fiyat Performans ürünü. Yerli ve servisinin olması güven veriyor. SSD ve RAM kapasitesi ideal. Büyük ihtimal aldığım fiyata alamayacaksınız, umarım indirimden yakalayabilirsiniz.",5
"Arkadaşlar ürün elime ulaştı kuruluşları falan tamam... öncelikle bataryada çok şaşırdım çıkarılabilir batarya bence en mükemmeli bu hiçbir firma bunu neden yazmaz anlamam çünkü batarya sabit ise çıkarmak sorublu bu batarya çıkarılabilir biliyor yani prizde iken bataryaya gereksiz enerji vermek zorunda kalmıyorsunuz ... bu benim için mükemmel sürprizdi ... islemci neslini bilerek aldım çünkü arada büyük bir teknoloji sıçraması veya güvenlik sorunu yok... ram harika idi esas tercih sebebidir... daha üst sürümlerde bu Rama ulaşmak baya maliyetli... kalite iyi görünüyor zaman gösterecek ama kullanım deneyimi, tasarım, ve ek özellikler yerinde bir de bahsettiğim gibi batarya çıkarılabilir biliyor kasayı acmaniza gerek yok bence tam puan",5
Ürün gerçekten f/p ürünü.Ben 07.07.2023 tarihinde indirimle beraber 22.800e almıştım bugun elime ulaştı.Bu 2.monster alışım ilkini iade etmiştim.Cihaz üzerinde 2adet crucial 16gb ram var.Fan sesi doğal olarak biraz çıkıyor.Başka marka model cihazların aynı konfigürasyondaki cihazlarına daha fazla para vermeye gerek yok bence.Abra A5 kasaların çoğunda leke mevcut gibi(Kasa birleşim yerinde)Cihaz parasını hak ediyor.Henüz oyunlarda test etmedim ama performanslı olacağı belli şimdiden.Windows 11 kurulumu yaptım farkı hissettim.,5
Harika ürün,5
22800 iken almıştım zamlandığını görünce almayı hala düşüncelere üzüldüm.Ama gerçekten fiyatını hakeden bir cihaz tavsiye ederim.,5
Ürün çok iyi gönül rahatlığıyla alabilirsiniz tereddüt etmenize gerek yok . Oynayamadığım hiç bir oyun olmadı . Herhangi bir donma felan yasamadım . Görüntü kalitesi muazzam tam bir fiyat performans ürünü. Ben aldıktan sonra iş yerinden 3 tane daha arkadasım aldı herkes memnun,5
"Yazılım ve proje geliştirme için kullanacağımdan dolayı benim için gayet yeterli, ayrıca tüm oyunları da oynayabileceğim bir donanım seviyesine sahip, iki üç katı paralara diğer markalara yönelmek yerine tercih edilebilir",5
Kasa ve tasarım güzel klavye ışık seçenek ve sistemi güzel kutulama paketleme harika çanta hediyesi çok iyi geri kalanını oyunda görcez fiyat özellik performans olarak alınabilecek en iyisi,5
Ürün elime eksiksiz ulaştı. Kutulaması ve kutu tasarımı çok hoşuma gitti. Bunların dışında tam bir fiyat performans ürünü olduğunu söyleyebilirim. Oyunlarda güzel fps alıyor ve işlemcisi de bana gayet yeterli geldi. Ömür boyu bakım da cabası…,5
"Özenle paketlenmiş, 1 günde geldi, çanta hediyeli ve sürücü diski bulunuyor. Özellikleri zaten çok iyi, ekran full hd yerine 2k olabilirdi. Yeterlilik konusunda bugünü değil yarını düşünmek lazım. Düşük RAM ve az hafızadan uzak durun.",5
Ürün normal şartlarda Çarşamba günü kargoya verilip Cuma günü teslim edilecekti. Satıcıya durumumun aciliyetini bildirdim hemen kargoya verdi. Çok teşekkür ediyorum. Ürün zaten harika.,5
Cihazı 25.800’e aldım. Performansı güzel. Isınma normal olarak var soğutucu gerekli. Kasa parmak izi tutuyor. İnternet hızınız iyiyse oyunlarda verim alırsınız. Hediye çantası yanında geliyor. Paketleme gayet iyi.,5
1 ay içinde 2. Aynı bilgisayar alisimiz çok memnunuz bu fiyata gerçekten işlemcileri çok iyi sadece ekranın  arkasındaki kasa plastik ama olsun,5
"Hafif, güzel, güçlü. Plastik kalitesi daha iyi olabilirdi. Çanta hediyesi çok iyi oldu.",5
Canavar gibi bilgisayar iyi ki almışım 23 bin civarına almıştım bir hafta olmadı fiyatı uçmuş.,5
Bu fiyata alabileceğiniz en iyi ürün kesinlikle. Lol de orta ayarlarda 300 fps alıyorum. Görüntü kalitesi muazzam. Tavsiye edilir,5
Ben çok beğendim eğer yazılımcı ve oyun oynamayı seviyorsanız tam size göre.,5
Cok hizli geldi. İyi kargolanmisti ve eksiksiz geldi. hediyeler icin teşekkürler,5
Uzun araştırmalar sonucunda karar Monster oldu oldukça memnunuz teşekkürler monster,5
3 gün oldu ve hala kargoya verilmedi hazırlanıyor diyor delircem gelsin artık,5
Oğlum istedi diye aldım iyiki almışım o memnun ve mutlu dolayısıyla bende ☺️ Tavsiye ederim ürünü,5
"Müekemmel ilgi,li bir satıcı zaten moonster kalitesi anlatmaya gerek yok...",5
Piyasanın en iyi bilgisayarı benim için Teşekkür ediyorum tüm emeği geçenlere,5
Ürün özellikleri ve performansı ile iyi çocuklar için aldım çok beğendiler satıcı da ilgili teşekkür ediyorum,5
yazılım ve oyun ihtiyacımı fazlasıyla görecek. çantası da fazlasıyla kullanışlı.,5
Freedos olarak geliyor. Bilgisayar tam bir canavar. Her oyunu rahat çalıştırır diye dusunuyorum.,5
Tek kelimeyle öfff diyorum makineyi kutusundan çıkarması bile resmen şow gösterisi,5
Kaliteli cihaz kendi sitesinden 2bin TL daha ucuza aldık tavsiye ederim,5
"Çok iyi bilgisayar, ve bilgisayardan daha hizlı ve ilgili satıcı firma. 1 günde elimize ulaştı. Oğluma almıştım, çok mutlu.",5
"Müthiş bi makina
22800 iken sipariş verdim
Şimdi ki fiyatını da hakeder",5
10 numara 5 yıldız,5
Kalite anlatılmaz yaşanır,5
Fiyat performans olarak harika.,5
Kargo çok hızlıydı. Siparişimden bir sonraki gün ürün elime ulaştı.,5
"Bu fiyata şuanda en iyi laptop
Monster kalitesi",5
Ürün sağlam teniz şekilde teslim edildi çok teşekkür ler,5
Ürün çok kaliteli paranız varsa alın,5
Monster ekibine çok teşekkür ederim kısa zamanda yolladılar,5
Hızlı geldi teşekkürler sorunsuz,5
Cihaz ates ediyor,5
Tek sorunu Windows kurulu gelmiyor. Bunun dışında mükemmel,5
Çok güzel tşkler bu arada zam gelmiş😀😀😀,5
Kalitesi kutu içeriğinden belli oluyor,5
Ailece hepimizin kullandığı ürün. Harika,5
On numara beş yildiz,5
Bu fiyata alınabilecek en iyi ürün.,5
Alın.,5
Teşekkürler,5
Ürün harika,5
"Şuanlık pc süper birşey daha batarya alışma süresinde şuan 1-1.5 saat gidiyor.zaten monsterlerde klasik olan ısınıyor pc, içine gta 5 ets 2 vs. Yükledim 144 Hz alınca ekranı 90-110 fps veriyor.Şık hafif bir laptop windows kurarken sorun çıkmadı.yanında sırt çantası geldi. güzel sırt çantası,pcyi prizden çıkartınca fps düşüyor bütün oyun bilgisayarlarında olduğu gibi markayı kötülemek değil sadece eksiklerini söylüyorum ayrıca alıcak arkadaşlar windows kurarken ssd görmeyebiliyormuş, bende öyle sorun olmadı ama olursa nasıl yapılacağı hakkında hem monster in youtube kanalında var ayrıca intel in yazılımını kurup ssd yi bulabiliyorsunuz.",5
"ürün fiyat performans gayet güzel.
ama hepsiburada ürünü aldıktan bir hafta sonra 
indirim yaptı ürüne ,
hepsiburada alışveriş yapmam artık
gerekirse daha pahalıya başka yerden alcam...",5
Çok iyi bir bilgisayar sadece freedos olması biraz sıkıntı oldu ve keşke şarjlı halde 3 saat değil de 4-5 saat çalışsa ama bu performansa çok iyi,5
"Ürün gerçekten çok güzel, sadece bataryası biraz hızlı bitiyo ve cihazın kapağında çok fazla parmak izi kalıyor. Ama genel olarak gerçekten çok güzel bir cihaz",5
Ürün gayet yeterli. Ram ve ssd de gayet yeterli düşük ram ve ssd den uzak durmak lazım. Biraz fazla ısınıyor. Ama oyun bilgisayarı olduğu için normal. Soğutucu kullanilabilir. Tek kötü yanı şarji çok çabuk bitiyor,5
Çok güzel ve kaliteli bir ürün. Bataryası daha iyi olabilirdi ama yine de çok kullanışlı.,5
Bence ürün gayet güzel gta V kaldırır :),5
Piyasa fiyatına göre baya uyguna aldım çok iyi hız,5
Ürün çok iyi ben çok beğendim oyunlarda baya akıcı kargoda hızlı geldi paketlemede hiçbir sıkıntı yoktu sadece bilgisayarın kasası çok parmak izi topluyor ve şarjıda az gidiyor birde hava sıcak olduğu zaman çok sınıyor çünkü 40 dereceyfi bence böyle olmadıda normal bilgisayar freedos olduğu için biraz sıkıntı yaşadık onuda müşteri hizmetleri halleti onun dışında bilgisayar süper tavsiye ederim,5
Bu kadar güzel bilgisayara böyle batarya olmamış. Paketleme güzeldi. Ama insan yeni aldığı üründe jelatin sökmek istiyor jelatin yoktu aradığımda kuran arkadaşlar unutmuş gerekeni yapalım dediler yinede teşekkürler,5
Fan sesi biraz fazla ve bataryası çok az hidiyor eksileri bunlar ama genel olarak çok iyi,5
FİYAT PERFORMANS ÜRÜNÜ RANCH SİMÜLATÖR OYNADIM ÇOK FAZLA ISINIYOR FANLAR COŞTUKÇA COŞUYOR,5
Çok güzel bir ürün biraz fan sesi var ama önemli değil,5
En iyisi olmasa da fiyat performans olarak en iyisi sanırım.Baya araştırdım.bu işlemci ve ekran kartı olan diğer markalar çok daha yüksek fiyata. İlk izlenimlerim iyi.bir tek ses kalitesini beğenmedim.driver yükledim bir sürü ayar denedim ama iyi değil.Sirkette Dell notebook kullanıyorum hem kalite hem netlik hemde ses seviyesi 3 katı daha iyi.,5
Yaşamadan bilemezsin canavar efsane tek eksiyi soğutucu bu kadar ısınan bi cihaz için yanında soğutucunun maliyeti çok olmamalı tek sıkıntısı bu bence şarj aletide aynı şekilde çok ısınıyor amperi yüksek olsaydı bu kadar ısımazdı diye düşünüyorum geri kalan Herşey on numara 🔥,5
İşlemci çabuk ısınıyor fan sesi de haliyle sesli,5
Batarya hariç ürün harika ve aşırı parmak izi kalıyor.,5
Pc güzel 2 günde geldi kargosu gerçekten güzel hazırlanmış windows kurulumu 5 dk sürdü driverlar la usb ile beraber 10 dk civarı bilgisayar toplamda 30 sk da kullanıma hazırdı hoş ve f/p ürünü,5
Ekran parlaklığı biraz düşük. Harici başarılı fiyat performans 🙏,5
Açılıştan kapanışa herşey çok güzel fan biraz sesli ve çok çabuk ısınıyor.batarya ömrü uzun değil 1 saat filan. Diğer özelliklerinden memnunum,5
Çok fazla ısınıyor ve çok fazla fan sesi var sizi rahatsız ediyor. Kış için odayı ısıtır o kadar deyim siz anlayın iş için kullandığım lenovo daha iyi onu anladım. Ama hızı falan çok iyi,5
Batarya biraz üzdü,5
Ürün gayet güzel oyunların hepsini kaldırıyor ama gta oyununda bile yüksek ayarlarda kasıyor kasa da parmak izi çok kalıyor biraz fanı sesli çalışıyor birde pili çok dayanmıyor,5
