Yorum_Icerik,Yildiz
kargo 2 gun icinde elime ulasti tesekkurler monster,5
omur boyu bakim ucretsiz olsun remi kendiniz takarsaniz garantisi bozulmuyor mukemmel bir bilgisayar kendi fan uygulamasi var oradan falan acip kapatabilirsiniz otomatigi alabilirsiniz kaldiramayacagi oyun yok,5
1once eksikliginden bahsedeyim kasasi plastik asiri parmak izi topluyor geriye kalan herseyi suan icin mukemmel yaninda gonderilen cantasi ayni sekilde cok guzel,5
i̇ndirimden aldim henuz gelecegi satin alacak durumda degiliz i̇ki nesil onceki islemci oyunlarda hicbir sorun cikartmadi beamng.drive gta v oyunlarda hic kasma olmadi 5 yil uzmeden calisacak bir makina hissi var ekrani acarken kasa aciliyor tek el acmak imkansiz adaptor yassi ideal boyutlarda fan sesi biraz yuksek geldi once hic gamer pc kullanmadim fiyat performans urunu yerli servisinin olmasi guven veriyor ssd ram kapasitesi ideal buyuk ihtimal aldigim fiyata alamayacaksiniz umarim indirimden yakalayabilirsiniz,5
arkadaslar urun elime ulasti kuruluslari falan tamam oncelikle bataryada cok sasirdim cikarilabilir batarya bence mukemmeli hicbir firma bunu yazmaz anlamam cunku batarya sabit cikarmak sorublu batarya cikarilabilir biliyor prizde iken bataryaya gereksiz enerji vermek zorunda kalmiyorsunuz ... benim icin mukemmel surprizdi ... islemci neslini bilerek aldim cunku arada buyuk bir teknoloji sicramasi guvenlik sorunu yok ram harika idi esas tercih sebebidir ust surumlerde rama ulasmak baya maliyetli kalite iyi gorunuyor zaman gosterecek kullanim deneyimi tasarim ek ozellikler yerinde bir bahsettigim batarya cikarilabilir biliyor kasayi acmaniza gerek yok bence tam puan,5
urun gercekten f/p urunu.ben 07.07.2023 tarihinde indirimle beraber 22.800e almistim bugun elime ulasti.bu 2.monster alisim ilkini iade etmistim.cihaz uzerinde 2adet crucial 16gb ram var.fan sesi dogal olarak biraz cikiyor.baska marka model cihazlarin ayni konfigurasyondaki cihazlarina fazla para vermeye gerek yok bence.abra a5 kasalarin cogunda leke mevcut gibi birlesim yerinde parasini hak ediyor.henuz oyunlarda test etmedim performansli olacagi belli simdiden.windows 11 kurulumu yaptim farki hissettim,5
harika urun,5
22800 iken almistim zamlandigini gorunce almayi hala dusuncelere uzuldum.ama gercekten fiyatini hakeden bir cihaz tavsiye ederim,5
urun cok iyi gonul rahatligiyla alabilirsiniz tereddut etmenize gerek yok . oynayamadigim hic bir oyun olmadi . herhangi bir donma felan yasamadim . goruntu kalitesi muazzam tam bir fiyat performans urunu ben aldiktan sonra is yerinden 3 tane arkadasim aldi herkes memnun,5
yazilim proje gelistirme icin kullanacagimdan dolayi benim icin gayet yeterli ayrica tum oyunlari oynayabilecegim bir donanim seviyesine sahip iki uc kati paralara diger markalara yonelmek yerine tercih edilebilir,5
kasa tasarim guzel klavye isik secenek sistemi guzel kutulama paketleme harika canta hediyesi cok iyi geri kalanini oyunda gorcez fiyat ozellik performans olarak alinabilecek iyisi,5
urun elime eksiksiz ulasti kutulamasi kutu tasarimi cok hosuma gitti bunlarin disinda tam bir fiyat performans urunu oldugunu soyleyebilirim oyunlarda guzel fps aliyor islemcisi bana gayet yeterli geldi omur boyu bakim cabasi…,5
ozenle paketlenmis 1 gunde geldi canta hediyeli surucu diski bulunuyor ozellikleri zaten cok iyi ekran full hd yerine 2k olabilirdi yeterlilik konusunda bugunu degil yarini dusunmek lazim dusuk ram hafizadan uzak durun,5
urun normal sartlarda carsamba gunu kargoya verilip cuma gunu teslim edilecekti saticiya durumumun aciliyetini bildirdim hemen kargoya verdi cok tesekkur ediyorum urun zaten harika,5
